#
# TLE_GNSS_SATNO.txt
# 
# satellite catalog number and international designator for GNSS
#
# TLE full catalog can be downloaded at Space-Track:
#
#     https://www.space-track.org
#
# history: 2012/11/27  1.0  new
#          2012/12/15  1.1  add GSAT10/GAGAN (PRN128)
#          2012/12/25  1.2  switch R08 satellite from 712 to 743
#          2013/01/06  1.3  switch R08 satellite from 743 to 701
#          2013/01/06  1.3  switch R08 satellite from 743 to 701
#          2013/02/23  1.4  switch R08 satellite from 701 to 743
#          2014/04/09  1.5  switch G27,G30,R02
#          2014/06/10  1.5  switch G06, decommission G09
#          2014/08/04  1.6  switch G09,R18,R21
#          2014/11/08  1.7  switch G03, decommission G08
#          2015/03/20  1.8  add E18,E14 as Galileo FOC-1,2
#          2016/01/19  1.9  switch G26,G08,G10
#                           add E26,E22,E24,E30 as Galileo FOC3,FOC4,FOC5,FOC6
#                           add SES-5,LUCH 5V,GSAT-15
#          2016/02/07  1.10 decomission G04 as GPS BIIA-23
#                           switch G32 from GPS BIIA-10 to BIIF-12
#                           add E08,E09 as Galileo FOC8,9
#          2016/05/25  1.11 switch R09,R16,R17
#          2018/06/16  1.12 Galileo and BeiDou updated
#          2018/08/09  1.13 add E25,E26,E23,E24
#          2018/10/10  1.14 add C26,C25,C32,C33
#                           BeiDou updated by IGS MGEX info
#          2018/12/27  1.15 update GPS,GLONASS,Galileo,QZSS,BeiDou,SBAS
#          2019/05/10  1.16 update BeiDou
#          2019/08/19  1.17 update R12,BeiDou
#          2020/07/30  1.18 update G04,G14,G18,G23,R04,R10,R24,E14,E18,E20,C01,
#                           C18,C31,C34,C35,C57,C58,129,137
#                           add C39,C40,C41,C42,C43,C44,C45,C46,C60,I02,I03,I04,
#                           I05,I06,I07,I09
#          2020/12/05  1.19 update Rxx, Gxx and each status
#

#SV  NORAD   ID      # SATELLITE NO/ID                  LAUNCH     STATUS
#                                                                (2020/12)

### NAVSTAR GPS

#G04 10684U  78020A  # GPS I-01    (SVN 01, NAVSTAR 01) 1978/02/22  --
#G00 10893U  78047A  # GPS I-02    (SVN 02, NAVSTAR 02) 1978/05/13  --
#G07 11054U  78093A  # GPS I-03    (SVN 03, NAVSTAR 03) 1978/10/07  --
#G00 11141U  78112A  # GPS I-04    (SVN 04, NAVSTAR 04) 1978/12/11  --
#G00 11690U  80011A  # GPS I-05    (SVN 05, NAVSTAR 05) 1980/02/09  --
#G09 11783U  80032A  # GPS I-06    (SVN 06, NAVSTAR 06) 1980/04/26  --
#G00 14189U  83072A  # GPS I-08    (SVN 08, NAVSTAR 08) 1983/07/14  --
#G00 15039U  84059A  # GPS I-09    (SVN 09, NAVSTAR 09) 1984/06/13  --
#G00 15271U  84097A  # GPS I-10    (SVN 10, NAVSTAR 10) 1984/09/08  --
#G03 16129U  85093A  # GPS I-11    (SVN 11, NAVSTAR 11) 1985/10/09  --
#G14 19802U  89013A  # GPS II-01   (SVN 14, NAVSTAR 13) 1989/02/14  --
#G02 20061U  89044A  # GPS II-02   (SVN 13, NAVSTAR 14) 1989/06/10  --
#G00 20185U  89064A  # GPS II-03   (SVN 16, NAVSTAR 15) 1989/08/18  --
#G19 20302U  89085A  # GPS II-04   (SVN 19, NAVSTAR 16) 1989/10/21  --
#G17 20361U  89097A  # GPS II-05   (SVN 17, NAVSTAR 17) 1989/12/11  --
#G00 20452U  90008A  # GPS II-06   (SVN 18, NAVSTAR 18) 1990/01/24  --
#G00 20533U  90025A  # GPS II-07   (SVN 20, NAVSTAR 19) 1990/03/26  --
#G21 20724U  90068A  # GPS II-08   (SVN 21, NAVSTAR 20) 1990/08/02  --
#G15 20830U  90088A  # GPS II-09   (SVN 15, NAVSTAR 21) 1990/10/01  --
#G32 20959U  90103A  # GPS IIA-01  (SVN 23, NAVSTAR 22) 1990/11/26  --
#G00 21552U  91047A  # GPS IIA-02  (SVN 24, NAVSTAR 23) 1991/07/04  --
#G00 21890U  92009A  # GPS IIA-03  (SVN 25, NAVSTAR 24) 1992/02/23  --
#G28 21930U  92019A  # GPS IIA-04  (SVN 28, NAVSTAR 25) 1992/04/10  --
#G26 22014U  92039A  # GPS IIA-05  (SVN 26, NAVSTAR 26) 1992/07/07  --
#G27 22108U  92058A  # GPS IIA-06  (SVN 27, NAVSTAR 27) 1992/09/09  --
#G24 22231U  92079A  # GPS IIA-07  (SVN 32, NAVSTAR 28) 1992/11/22  --
#G29 22275U  92089A  # GPS IIA-08  (SVN 29, NAVSTAR 29) 1992/12/18  --
#G22 22446U  93007A  # GPS IIA-09  (SVN 22, NAVSTAR 30) 1993/02/03  --
#G00 22581U  93017A  # GPS IIA-10  (SVN 31, NAVSTAR 31) 1993/03/30  --
#G01 22657U  93032A  # GPS IIA-11  (SVN 37, NAVSTAR 32) 1993/05/13  --
#G09 22700U  93042A  # GPS IIA-12  (SVN 39, NAVSTAR 33) 1993/06/26  --
#G30 22779U  93054A  # GPS IIA-13  (SVN 35, NAVSTAR 34) 1993/08/30  --
#G04 22877U  93068A  # GPS IIA-14  (SVN 34, NAVSTAR 35) 1993/10/26  --
#G18 22877U  93068A  # GPS IIA-14  (SVN 34, NAVSTAR 35) 1993/10/26  --
#G06 23027U  94016A  # GPS IIA-15  (SVN 36, NAVSTAR 36) 1994/03/10  --
#G03 23833U  96019A  # GPS IIA-16  (SVN 33, NAVSTAR 37) 1996/03/28  --
#G10 23953U  96041A  # GPS IIA-17  (SVN 40, NAVSTAR 38) 1996/07/16  --
#G30 24320U  96056A  # GPS IIA-18  (SVN 30, NAVSTAR 39) 1996/09/12  --
R23  36402U  10007C  # GLONASS-M (732, COSMOS 2460)     2010/03/02  OK
#R16 37137U  10041A  # GLONASS-M (738, COSMOS 2466)     2010/??/??  --
#R12 37138U  10041B  # GLONASS-M (737, COSMOS 2465)     2010/??/??  --
#R09 37139U  10041C  # GLONASS-M (736, COSMOS 2464)     2010/09/02  --
R16  37139U  10041C  # GLONASS-M (736, COSMOS 2464)     2010/09/02  OK
#R21 37372U  11009A  # GLONASS-K (701, COSMOS 2471)     2011/02/26  --
#R08 37372U  11009A  # GLONASS-K (701, COSMOS 2471)     2011/02/26  --
#R26 37372U  11009A  # GLONASS-K (701, COSMOS 2471)     2011/02/26  --
#R20 37372U  11009A  # GLONASS-K (701, COSMOS 2471)     2011/02/26  TEST
#R04 37829U  11055A  # GLONASS-M (742, COSMOS 2474)     2011/10/02  --
R03  37867U  11064A  # GLONASS-M (744, COSMOS 2476)     2011/11/04  OK
R07  37868U  11064B  # GLONASS-M (745, COSMOS 2477)     2011/11/04  OK
R08  37869U  11064C  # GLONASS-M (743, COSMOS 2475)     2011/11/04  OK
#R17 37938U  11071A  # GLONASS-M (746, COSMOS 2478)     2011/11/28  --
R02  39155U  13019A  # GLONASS-M (747, COSMOS 2485)     2013/04/26  OK
R18  39620U  14012A  # GLONASS-M (754, COSMOS 2491)     2014/03/23  OK
R21  40001U  14032A  # GLONASS-M (755, COSMOS 2500)     2014/06/14  OK
#R27 40315U  14075A  # GLONASS-K (702, COSMOS 2501)     2014/11/30  --
R09  40315U  14075A  # GLONASS-K (702, COSMOS 2501)     2014/11/30  OK
R17  41330U  16008A  # GLONASS-M (751, COSMOS 2514)     2016/02/06  OK
R11  41554U  16032A  # GLONASS-M (753, COSMOS 2516)     2016/05/29  OK
R14  42939U  17055A  # GLONASS-M (752, COSMOS 2522)     2017/09/22  OK
R05  43508U  18053A  # GLONASS-M (756, COSMOS 2527)     2018/06/17  OK
R15  43687U  18086A  # GLONASS-M (757, COSMOS 2529)     2018/11/03  OK
R12  44299U  19030A  # GLONASS-M (758, COSMOS 2534)     2019/05/28  OK
R04  44850U  19088A  # GLONASS-M (759, COSMOS 2544)     2019/12/11  OK
R24  45358U  20018A  # GLONASS-M (760, COSMOS 2545)     2020/03/16  OK
#R10 46805U  20075A  # GLONASS-K (705, COSMOS 2547)     2020/10/25  TEST

### GALILEO

#E51 28922U  05051A  # GIOVE-A                          2005/12/28  --
#E52 32781U  08020A  # GIOVE-B                          2008/04/27  --
E11  37846U  11060A  # GALILEO-IOV1  (GSAT 0101)        2011/10/21  OK
E12  37847U  11060B  # GALILEO-IOV2  (GSAT 0102)        2011/10/21  OK
E19  38857U  12055A  # GALILEO-IOV3  (GSAT 0103)        2012/10/12  OK
#E20 38858U  12055B  # GALILEO-IOV4  (GSAT 0104)        2012/10/12  --
E18  40128U  14050A  # GALILEO-FOC1  (GSAT 0201)        2014/08/22  OK
E14  40129U  14050B  # GALILEO-FOC2  (GSAT 0202)        2014/08/22  OK
E26  40544U  15017A  # GALILEO-FOC3  (GSAT 0203)        2015/03/27  OK
#E22 40545U  15017B  # GALILEO-FOC4  (GSAT 0204)        2015/03/27  --
E24  40889U  15045A  # GALILEO-FOC5  (GSAT 0205)        2015/09/10  OK
E30  40890U  15045B  # GALILEO-FOC6  (GSAT 0206)        2015/09/10  OK
E09  41174U  15079A  # GALILEO-FOC9  (GSAT 0209)        2015/12/17  OK
E08  41175U  15079B  # GALILEO-FOC8  (GSAT 0208)        2015/12/17  OK
E02  41549U  16030A  # GALILEO-FOC11 (GSAT 0211)        2016/05/24  OK
E01  41550U  16030B  # GALILEO-FOC10 (GSAT 0210)        2016/05/24  OK
E07  41859U  16069A  # GALILEO-FOC7  (GSAT 0207)        2016/11/17  OK
E03  41860U  16069B  # GALILEO-FOC12 (GSAT 0212)        2016/11/17  OK
E04  41861U  16069C  # GALILEO-FOC13 (GSAT 0213)        2016/11/17  OK
E05  41862U  16069D  # GALILEO-FOC14 (GSAT 0214)        2016/11/17  OK
E21  43055U  17079A  # GALILEO-FOC15 (GSAT 0215)        2017/12/12  OK
E25  43056U  17079B  # GALILEO-FOC16 (GSAT 0216)        2017/12/12  OK
E27  43057U  17079C  # GALILEO-FOC17 (GSAT 0217)        2017/12/12  OK
E31  43058U  17079D  # GALILEO-FOC18 (GSAT 0218)        2017/12/12  OK
E36  43566U  18060C  # GALILEO-FOC19 (GSAT 0219)        2018/07/25  OK
E13  43567U  18060D  # GALILEO-FOC20 (GSAT 0220)        2018/07/25  OK
E15  43564U  18060A  # GALILEO-FOC21 (GSAT 0221)        2018/07/25  OK
E33  43565U  18060B  # GALILEO-FOC22 (GSAT 0222)        2018/07/25  OK

### QZSS

J01  37158U  10045A  # QZS-1 (PRN 193/183)              2010/09/11  OK
J02  42738U  17028A  # QZS-2 (PRN 194/184)              2017/06/01  OK
J07  42917U  17048A  # QZS-3 (PRN 199/189)              2017/08/19  OK
J03  42965U  17062A  # QZS-4 (PRN 195/185)              2017/10/09  OK

### BDS

#C00 26599U  00069A  # BEIDOU 1A                        2000/10/31  --
#C00 26643U  00082A  # BEIDOU 1B                        2000/12/21  --
#C00 27813U  03021A  # BEIDOU 1C                        2003/05/25  --
#C00 30323U  07003A  # BEIDOU 1D                        2007/02/02  --
#C00 31115U  07011A  # BEIDOU M1                        2007/04/13  --
#C02 34779U  09018A  # BEIDOU G2                        2010/01/16  --
#C01 36287U  10001A  # BEIDOU-2 G1                      2010/01/16  OK
#C03 36590U  10024A  # BEIDOU-2 G3                      2010/06/02  --
C06  36828U  10036A  # BEIDOU-2 I1                      2010/07/31  OK
C04  37210U  10057A  # BEIDOU-2 G4                      2010/10/31  OK
C07  37256U  10068A  # BEIDOU-2 I2                      2010/12/17  OK
C08  37384U  11013A  # BEIDOU-2 I3                      2011/04/09  OK
C09  37763U  11038A  # BEIDOU-2 I4                      2011/07/26  OK
C10  37948U  11073A  # BEIDOU-2 I5                      2011/12/02  OK
C05  38091U  12008A  # BEIDOU-2 G5                      2012/02/24  OK
C11  38250U  12018A  # BEIDOU-2 M3                      2012/04/30  OK
C12  38251U  12018B  # BEIDOU-2 M4                      2012/04/30  OK
#C13 38774U  12050A  # BEIDOU-2 M5                      2012/09/18  --
C14  38775U  12050B  # BEIDOU-2 M6                      2012/09/18  OK
C02  38953U  12059A  # BEIDOU-2 G6                      2012/10/25  OK
#C31 40549U  15019A  # BEIDOU-3 I1S                     2015/03/30  EXPER
#C28 40748U  15037A  # BEIDOU-3 M2S                     2015/07/25  --
#C58 40748U  15037A  # BEIDOU-3 M2S                     2015/07/25  EXPER
#C19 40749U  15037B  # BEIDOU-3 M1S                     2015/07/25  --
#C57 40749U  15037B  # BEIDOU-3 M1S                     2015/07/25  EXPER
#C18 40938U  15053A  # BEIDOU-3 I2S                     2015/09/29  --
#C56 40938U  15053A  # BEIDOU-3 I2S                     2015/09/29  EXPER
#C35 41315U  16006A  # BEIDOU-3 M3S                     2016/02/01  --
#C15 41434U  16021A  # BEIDOU-2 I6                      2016/03/29  --
C13  41434U  16021A  # BEIDOU-2 I6                      2016/03/29  OK
#C17 41586U  16037A  # BEIDOU-2 G7                      2016/06/12  --
C03  41586U  16037A  # BEIDOU-2 G7                      2016/06/12  OK
C19  43001U  17069A  # BEIDOU-3 M1                      2017/11/05  OK
C20  43002U  17069B  # BEIDOU-3 M2                      2017/11/05  OK
C27  43107U  18003A  # BEIDOU-3 M7                      2018/01/11  OK
C28  43108U  18003B  # BEIDOU-3 M8                      2018/01/11  OK
C22  43207U  18018A  # BEIDOU-3 M4                      2018/02/12  OK
C21  43208U  18018B  # BEIDOU-3 M3                      2018/02/12  OK
C29  43245U  18029A  # BEIDOU-3 M9                      2018/03/29  OK
C30  43246U  18029B  # BEIDOU-3 M10                     2018/03/29  OK
C16  43539U  18057A  # BEIDOU-2 I7                      2018/07/09  OK
C23  43581U  18062A  # BEIDOU-3 M5                      2018/07/28  OK
C24  43582U  18062B  # BEIDOU-3 M6                      2018/07/28  OK
C26  43602U  18067A  # BEIDOU-3 M12                     2018/08/24  OK
C25  43603U  18067B  # BEIDOU-3 M11                     2018/08/24  OK
C32  43622U  18072A  # BEIDOU-3 M13                     2018/09/19  OK
C33  43623U  18072B  # BEIDOU-3 M14                     2018/09/19  OK
C35  43647U  18078A  # BEIDOU-3 M16                     2018/10/15  OK
C34  43648U  18078B  # BEIDOU-3 M15                     2018/10/15  OK
C59  43683U  18085A  # BEIDOU-3 G1                      2018/11/01  OK
C36  43706U  18093A  # BEIDOU-3 M17                     2018/11/19  OK
C37  43707U  18093B  # BEIDOU-3 M18                     2018/11/19  OK
C38  44204U  19023A  # BEIDOU-3 I1                      2019/04/20  OK
C01  44231U  19027A  # BEIDOU-2 G8                      2019/05/17  OK
C39  44337U  19035A  # BEIDOU-3 I2                      2019/06/24  OK
C46  44542U  19061A  # BEIDOU-3 M24                     2019/09/22  OK
C45  44543U  19061B  # BEIDOU-3 M23                     2019/09/22  OK
C40  44709U  19073A  # BEIDOU-3 I3                      2019/11/04  OK
C44  44793U  19078A  # BEIDOU-3 M22                     2019/11/23  OK
C43  44794U  19078B  # BEIDOU-3 M21                     2019/11/23  OK
C41  44864U  19090A  # BEIDOU-3 M19                     2019/12/16  OK
C42  44865U  19090B  # BEIDOU-3 M20                     2019/12/16  OK
C60  45344U  20017A  # BEIDOU-3 G2                      2020/03/09  OK
#C61 45807U  20040A  # BEIDOU-3 G3                      2020/06/23  TEST

### NAVIC/IRNSS

#I01 39199U 13034A   $ IRNSS-1A                         2013/07/01  --
I02  39635U 14017A   # IRNSS-1B                         2014/04/04  OK
I03  40269U 14061A   # IRNSS-1C                         2014/10/15  OK
I04  40547U 15018A   # IRNSS-1D                         2015/03/28  OK
I05  41241U 16003A   # IRNSS-1E                         2016/01/20  OK
I06  41384U 16015A   # IRNSS-1F                         2016/03/10  OK
I07  41469U 16027A   # IRNSS-1G                         2016/04/28  OK
I09  43286U 18035A   # IRNSS-1I                         2018/04/11  OK

### SBAS

#120 24307U  96053A  # INMARSAT 3-F2   (EGNOS, 15.5W)   1996/09/06  --
#124 26863U  01029A  # ARTEMIS         (EGNOS, 21.5E)   2001/07/12  --
#129 28622U  05006A  # MTSAT-1R        (MSAS , 140E)    2005/02/26  --
138  28868U  05036A  # ANIK F1-R       (WAAS , 107.3W)  2005/09/08  OK
135  28884U  05041A  # GALAXY 15       (WAAS , 133W)    2005/10/13  OK
#126 28899U  05044A  # INMARSAT 4-F2   (EGNOS, 25E)     2005/11/08  TEST
#137 28937U  06004A  # MTSAT-2         (MSAS , 145E)    2006/02/26  --
#129 28937U  06004A  # MTSAT-2         (MSAS , 145E)    2006/02/26  --
#133 33278U  08039A  # INMARSAT 4-F3   (WAAS , 98W)     2008/08/18  --
127  37605U  11022A  # GSAT-8          (GAGAN, 55E)     2011/05/20  OK
#140 37951U  11074B  # LUCH 5A         (SDCM , 16W)     2011/12/11  TEST
136  38652U  12036A  # SES-5           (EGNOS, 5E)      2012/07/09  OK
128  38779U  12051B  # GSAT-10         (GAGAN, 83E)     2012/09/28  OK
